year DOY HR MN      v     d      beta     ma
2020  78  6 28   382.0   5.29   3.10  11.5
2020  78  6 29 99999.9 999.99 999.99 999.9
2020  78  6 30 99999.9 999.99 999.99 999.9
2020  78  6 31 99999.9 999.99 999.99 999.9
2020  78  6 32 99999.9 999.99 999.99 999.9
2020  78  6 33   386.8   5.03   2.69  10.9
2020  78  6 34   386.8   5.03   2.72  11.0
2020  78  6 35 99999.9 999.99 999.99 999.9
2020  78  6 36 99999.9 999.99 999.99 999.9
2020  78  6 37 99999.9 999.99 999.99 999.9
2020  78  6 38   387.6   5.13   2.82  11.1
2020  78  6 39   387.6   5.13   2.83  11.2
2020  78  6 40   387.6   5.13   2.82  11.1
2020  78  6 41 99999.9 999.99 999.99 999.9
2020  78  6 42   388.1   4.70   2.58  10.7
2020  78  6 43   388.1   4.70   2.56  10.7
2020  78  6 44   388.1   4.70   2.62  10.8
2020  78  6 45 99999.9 999.99 999.99 999.9
2020  78  6 46 99999.9 999.99 999.99 999.9
2020  78  6 47   383.2   4.64   2.57  10.6
2020  78  6 48   383.2   4.64   2.54  10.6
2020  78  6 49   383.2   4.64   2.61  10.7
2020  78  6 50 99999.9 999.99 999.99 999.9
2020  78  6 51 99999.9 999.99 999.99 999.9
2020  78  6 52 99999.9 999.99 999.99 999.9
2020  78  6 53   378.9   4.45   2.24  10.1
2020  78  6 54   378.9   4.45   2.18  10.0
2020  78  6 55   378.9   4.45   2.29  10.2
2020  78  6 56 99999.9 999.99 999.99 999.9
2020  78  6 57 99999.9 999.99 999.99 999.9
2020  78  6 58 99999.9 999.99 999.99 999.9
2020  78  6 59 99999.9 999.99 999.99 999.9
2020  78  7  0   383.6   4.89   2.77  11.1
2020  78  7  1   383.6   4.89   2.74  11.0
2020  78  7  2 99999.9 999.99 999.99 999.9
2020  78  7  3   382.0   5.29   3.03  11.3
2020  78  7  4   382.9   5.05   2.67  10.7
2020  78  7  5   385.1   4.43   2.96  11.7
2020  78  7  6   385.1   4.43   2.78  11.3
2020  78  7  7   377.2   5.73   3.82  12.4
2020  78  7  8   376.6   5.55   3.45  12.0
2020  78  7  9   376.2   4.93   2.61  10.9
2020  78  7 10   378.0   4.81   2.65  11.0
2020  78  7 11   376.2   5.00   2.84  11.2
2020  78  7 12   378.0   5.12   3.11  11.4
2020  78  7 13   379.9   5.08   3.15  11.5
2020  78  7 14   380.4   5.19   2.91  11.1
2020  78  7 15   382.3   5.12   2.86  11.0
2020  78  7 16   380.4   5.20   2.98  11.2
2020  78  7 17   379.0   5.19   3.13  11.4
2020  78  7 18   375.8   5.41   3.06  11.1
2020  78  7 19   377.6   5.35   3.02  11.3
2020  78  7 20   379.8   5.18   2.89  11.3
2020  78  7 21   381.1   5.05   2.71  11.0
2020  78  7 22   380.6   5.33   3.06  11.4
2020  78  7 23   380.6   5.07   2.80  11.2
2020  78  7 24   379.1   5.30   2.91  11.1
2020  78  7 25   377.7   5.32   2.63  10.7
2020  78  7 26   377.7   5.11   2.63  10.7
2020  78  7 27   380.4   5.33   2.89  10.9
2020  78  7 28   380.0   5.29   3.00  11.1
2020  78  7 29   376.7   5.38   3.08  11.3
2020  78  7 30   374.3   5.51   2.87  11.0
2020  78  7 31 99999.9 999.99 999.99 999.9
2020  78  7 32   379.9   5.41   2.82  11.1
2020  78  7 33   379.9   5.41 999.99 999.9
2020  78  7 34 99999.9 999.99 999.99 999.9
2020  78  7 35 99999.9 999.99 999.99 999.9
2020  78  7 36 99999.9 999.99 999.99 999.9
2020  78  7 37 99999.9 999.99 999.99 999.9
2020  78  7 38 99999.9 999.99 999.99 999.9
2020  78  7 39 99999.9 999.99 999.99 999.9
2020  78  7 40 99999.9 999.99 999.99 999.9
